,Date,CPIUS,GDEBTUS,GDPUS,HOUUS,IPUS,OILPRODUS,POPUS,RETAUS,URATEUS,Y10YDUS
0,2010-01-01,217.5,12278636.0,14721350.0,189.2,89.19,5404.0,308706.0,308346.0,9.8,3.73
1,2010-02-01,217.3,12440068.0,14789599.333333334,188.5,89.5,5553.0,308904.0,308435.0,9.8,3.69
2,2010-03-01,217.4,12773123.0,14857848.666666666,188.2,90.14,5515.0,309095.0,315771.0,9.9,3.73
3,2010-04-01,217.4,12948739.0,14926098.0,188.5,90.46,5392.0,309289.0,318646.0,9.9,3.85
4,2010-05-01,217.3,12992539.0,14977371.0,188.5,91.7,5401.0,309485.0,315356.0,9.6,3.42
5,2010-06-01,217.2,13201792.0,15028644.0,186.5,91.9,5380.0,309691.0,314806.0,9.4,3.2
6,2010-07-01,217.6,13237727.0,15079917.0,185.4,92.25,5298.0,309913.0,315589.0,9.4,3.01
7,2010-08-01,217.9,13449653.0,15133559.0,185.2,92.59,5447.0,310146.0,317171.0,9.5,2.7
8,2010-09-01,218.3,13561623.0,15187201.0,183.4,92.86,5616.0,310385.0,319912.0,9.5,2.65
9,2010-10-01,219.0,13668825.0,15240843.0,183.7,92.6,5631.0,310612.0,324078.0,9.4,2.54
10,2010-11-01,219.6,13860774.0,15255838.0,183.1,92.68,5576.0,310820.0,327340.0,9.8,2.76
11,2010-12-01,220.5,14025215.0,15270833.0,181.7,93.59,5607.0,311020.0,329684.0,9.3,3.29
12,2011-01-01,221.2,14131051.0,15285828.0,180.7,93.39,5497.0,311204.0,332082.0,9.1,3.39
13,2011-02-01,221.9,14194764.0,15355948.333333334,179.1,92.99,5406.0,311373.0,334619.0,9.0,3.58
14,2011-03-01,223.0,14270115.0,15426068.666666666,177.1,93.98,5618.0,311551.0,337859.0,9.0,3.41
15,2011-04-01,224.1,14287630.0,15496189.0,177.5,93.65,5562.0,311740.0,339671.0,9.1,3.46
16,2011-05-01,224.8,14344668.0,15528076.0,177.1,93.78,5625.0,311935.0,339090.0,9.0,3.17
17,2011-06-01,224.8,14343088.0,15559963.0,177.6,94.05,5589.0,312147.0,341601.0,9.1,3.0
18,2011-07-01,225.4,14342369.0,15591850.0,177.9,94.49,5440.0,312372.0,341366.0,9.0,3.0
19,2011-08-01,226.1,14684293.0,15660053.333333334,177.5,95.1,5665.0,312605.0,341964.0,9.0,2.3
20,2011-09-01,226.6,14790340.0,15728256.666666666,178.5,95.03,5614.0,312842.0,345545.0,9.0,1.98
21,2011-10-01,226.8,14993709.0,15796460.0,177.6,95.69,5902.0,313060.0,347682.0,8.8,2.15
22,2011-11-01,227.2,15110499.0,15870892.666666666,178.3,95.69,6039.0,313260.0,348930.0,8.6,2.01
23,2011-12-01,227.2,15222940.0,15945325.333333334,178.9,96.19,6112.0,313454.0,349671.0,8.5,1.98
24,2012-01-01,227.8,15356140.0,16019758.0,178.1,96.78,6177.0,313636.0,352554.0,8.3,1.97
25,2012-02-01,228.3,15488891.0,16063924.333333334,178.6,97.1,6268.0,313811.0,357205.0,8.3,1.97
26,2012-03-01,228.8,15582079.0,16108090.666666666,180.1,96.59,6327.0,313993.0,358614.0,8.2,2.17
27,2012-04-01,229.2,15692368.0,16152257.0,181.1,97.29,6320.0,314176.0,356588.0,8.2,2.05
28,2012-05-01,228.7,15770685.0,16187221.666666666,182.1,97.49,6370.0,314368.0,355793.0,8.2,1.8
29,2012-06-01,228.5,15855037.0,16222186.333333334,182.8,97.5,6275.0,314576.0,352088.0,8.2,1.62
30,2012-07-01,228.6,15933235.0,16257151.0,183.2,97.69,6431.0,314796.0,353723.0,8.2,1.53
31,2012-08-01,229.9,16015770.0,16291055.0,184.5,97.31,6351.0,315031.0,358452.0,8.1,1.68
32,2012-09-01,231.0,16066241.0,16324959.0,185.2,97.24,6598.0,315264.0,361166.0,7.8,1.72
33,2012-10-01,231.6,16261471.0,16358863.0,186.1,97.54,6970.0,315485.0,361714.0,7.8,1.75
34,2012-11-01,231.2,16369549.0,16429105.666666666,187.0,97.93,7082.0,315692.0,362746.0,7.7,1.65
35,2012-12-01,231.2,16432730.0,16499348.333333334,187.9,98.2,7106.0,315877.0,364220.0,7.9,1.72
36,2013-01-01,231.7,16433792.0,16569591.0,189.2,98.2,7083.0,316038.0,366868.0,8.0,1.91
37,2013-02-01,232.9,16687289.0,16592369.333333334,190.5,98.67,7145.0,316191.0,372191.0,7.7,1.98
38,2013-03-01,232.3,16771379.0,16615147.666666666,192.4,99.08,7214.0,316357.0,369051.0,7.5,1.96
39,2013-04-01,231.8,16828844.0,16637926.0,193.3,98.97,7374.0,316535.0,367123.0,7.6,1.76
40,2013-05-01,231.9,16738822.0,16708200.0,194.9,99.06,7326.0,316729.0,369516.0,7.5,1.93
41,2013-06-01,232.4,16738320.0,16778474.0,196.1,99.24,7277.0,316934.0,370732.0,7.5,2.3
42,2013-07-01,232.9,16738599.0,16848748.0,197.2,98.93,7522.0,317156.0,373185.0,7.3,2.58
43,2013-08-01,233.5,16738650.0,16926877.333333332,197.7,99.51,7534.0,317397.0,372208.0,7.2,2.74
44,2013-09-01,233.5,16738184.0,17005006.666666668,198.7,100.0,7838.0,317635.0,372330.0,7.2,2.81
45,2013-10-01,233.7,17156116.0,17083136.0,199.3,99.92,7760.0,317864.0,373275.0,7.2,2.62
46,2013-11-01,234.1,17217152.0,17090276.0,199.4,100.2,7919.0,318076.0,373691.0,6.9,2.72
47,2013-12-01,234.7,17351972.0,17097416.0,200.5,100.4,7932.0,318276.0,376564.0,6.7,2.9
48,2014-01-01,235.3,17293020.0,17104556.0,201.3,100.0,8077.0,318464.0,373103.0,6.6,2.86
49,2014-02-01,235.5,17463228.0,17214006.666666668,202.2,100.8,8141.0,318642.0,378327.0,6.7,2.71
50,2014-03-01,236.0,17601228.0,17323457.333333332,202.8,101.8,8296.0,318827.0,382202.0,6.7,2.72
51,2014-04-01,236.5,17508438.0,17432908.0,203.4,101.8,8526.0,319020.0,386409.0,6.2,2.71
52,2014-05-01,236.9,17516958.0,17529157.333333332,203.8,102.3,8645.0,319225.0,386717.0,6.3,2.56
53,2014-06-01,237.2,17632606.0,17625406.666666668,204.9,102.6,8742.0,319438.0,387738.0,6.1,2.6
54,2014-07-01,237.5,17687138.0,17721656.0,205.7,102.8,8846.0,319670.0,387978.0,6.2,2.54
55,2014-08-01,237.5,17749172.0,17764408.0,206.5,102.7,8931.0,319919.0,391224.0,6.1,2.42
56,2014-09-01,237.5,17824070.0,17807160.0,206.7,103.0,9086.0,320166.0,389504.0,5.9,2.53
57,2014-10-01,237.4,17937160.0,17849912.0,207.9,103.0,9265.0,320403.0,390417.0,5.7,2.3
58,2014-11-01,237.0,18005550.0,17894667.333333332,208.9,103.6,9324.0,320616.0,391348.0,5.8,2.33
59,2014-12-01,236.3,18141444.0,17939422.666666668,210.2,103.6,9563.0,320815.0,388028.0,5.6,2.21
60,2015-01-01,234.7,18082294.0,17984178.0,210.4,102.8,9383.0,320997.0,385289.0,5.7,1.88
61,2015-02-01,235.3,18155854.0,18062586.666666668,212.0,102.2,9490.0,321164.0,384685.0,5.5,1.98
62,2015-03-01,236.0,18152056.0,18140995.333333332,212.7,101.8,9583.0,321344.0,390850.0,5.4,2.04
63,2015-04-01,236.2,18152560.0,18219404.0,213.5,101.2,9658.0,321538.0,391130.0,5.4,1.94
64,2015-05-01,237.0,18152852.0,18262077.333333332,214.7,100.8,9474.0,321740.0,394366.0,5.6,2.2
65,2015-06-01,237.7,18151998.0,18304750.666666668,215.6,100.5,9357.0,321954.0,394743.0,5.3,2.36
66,2015-07-01,238.0,18151322.0,18347424.0,216.6,101.1,9445.0,322186.0,398028.0,5.2,2.32
67,2015-08-01,238.0,18151150.0,18357884.0,217.0,100.9,9409.0,322427.0,397782.0,5.1,2.17
68,2015-09-01,237.5,18150618.0,18368344.0,218.1,100.7,9477.0,322670.0,395641.0,5.0,2.17
69,2015-10-01,237.7,18152982.0,18378804.0,219.4,100.2,9399.0,322901.0,394266.0,5.0,2.07
70,2015-11-01,238.0,18827322.0,18409254.666666668,220.4,99.44,9332.0,323113.0,395960.0,5.1,2.26
71,2015-12-01,237.8,18922178.0,18439705.333333332,221.4,98.94,9275.0,323318.0,396826.0,5.0,2.24
72,2016-01-01,237.7,19012828.0,18470156.0,222.4,99.46,9201.0,323509.0,394486.0,4.8,2.09
73,2016-02-01,237.3,19125456.0,18532173.333333332,222.5,98.91,9060.0,323687.0,397676.0,4.9,1.78
74,2016-03-01,238.1,19264938.0,18594190.666666668,224.2,98.19,9100.0,323871.0,396630.0,5.0,1.89
75,2016-04-01,239.0,19187386.0,18656208.0,225.4,98.47,8873.0,324061.0,398199.0,5.1,1.81
76,2016-05-01,239.6,19265452.0,18695958.666666668,226.3,98.25,8834.0,324260.0,399711.0,4.8,1.81
77,2016-06-01,240.2,19381592.0,18735709.333333332,227.6,98.73,8675.0,324476.0,404475.0,4.9,1.64
78,2016-07-01,240.1,19427696.0,18775460.0,228.8,98.84,8661.0,324697.0,403827.0,4.8,1.5
79,2016-08-01,240.5,19510296.0,18839653.333333332,229.8,98.76,8689.0,324924.0,403731.0,4.9,1.56
80,2016-09-01,241.2,19573444.0,18903846.666666668,231.1,98.66,8543.0,325155.0,406064.0,5.0,1.63
81,2016-10-01,241.7,19805716.0,18968040.0,232.4,98.73,8803.0,325368.0,407120.0,4.9,1.76
82,2016-11-01,242.0,19948064.0,19029997.333333332,233.4,98.35,8902.0,325562.0,405929.0,4.7,2.14
83,2016-12-01,242.6,19976826.0,19091954.666666668,234.9,99.03,8815.0,325742.0,412576.0,4.7,2.49
84,2017-01-01,243.6,19937262.0,19153912.0,235.1,98.8,8874.0,325901.0,415749.0,4.7,2.43
85,2017-02-01,244.0,19959594.0,19210248.0,236.3,98.43,9094.0,326050.0,415552.0,4.6,2.42
86,2017-03-01,243.9,19846420.0,19266584.0,237.8,99.07,9164.0,326207.0,414836.0,4.4,2.48
87,2017-04-01,244.2,19846130.0,19322920.0,239.6,100.0,9101.0,326371.0,416541.0,4.4,2.3
88,2017-05-01,244.0,19845942.0,19402578.666666668,240.7,100.1,9185.0,326548.0,414102.0,4.4,2.3
89,2017-06-01,244.2,19844554.0,19482237.333333332,241.6,100.3,9110.0,326743.0,416293.0,4.3,2.19
90,2017-07-01,244.2,19844910.0,19561896.0,242.9,100.1,9246.0,326939.0,416373.0,4.3,2.32
91,2017-08-01,245.2,19844534.0,19672847.333333332,244.5,99.66,9250.0,327140.0,416888.0,4.4,2.21
92,2017-09-01,246.4,20244900.0,19783798.666666668,245.6,99.77,9516.0,327342.0,426198.0,4.3,2.2
93,2017-10-01,246.6,20442474.0,19894750.0,246.6,101.0,9668.0,327528.0,426725.0,4.2,2.36
94,2017-11-01,247.3,20590392.0,19981662.0,248.3,101.3,10085.0,327699.0,430931.0,4.2,2.35
95,2017-12-01,247.8,20492748.0,20068574.0,249.3,101.5,9983.0,327848.0,433537.0,4.1,2.4
96,2018-01-01,248.9,20493730.0,20155486.0,251.3,101.4,10000.0,327969.0,431045.0,4.0,2.58
97,2018-02-01,249.5,20855672.0,20260389.333333332,252.9,101.8,10262.0,328085.0,433754.0,4.1,2.86
98,2018-03-01,249.6,21089642.0,20365292.666666668,253.9,102.2,10466.0,328219.0,432891.0,4.0,2.84
99,2018-04-01,250.2,21068200.0,20470196.0,254.6,103.3,10499.0,328364.0,434832.0,4.0,2.87
100,2018-05-01,250.8,21145216.0,20579707.333333332,255.7,102.4,10434.0,328521.0,439781.0,3.8,2.98
101,2018-06-01,251.0,21195070.0,20689218.666666668,256.9,103.2,10640.0,328692.0,437530.0,4.0,2.91
102,2018-07-01,251.2,21313062.0,20798730.0,257.9,103.3,10896.0,328863.0,440111.0,3.8,2.89
103,2018-08-01,251.7,21458850.0,20838442.666666668,259.2,104.1,11391.0,329040.0,439439.0,3.8,2.89
104,2018-09-01,252.2,21516058.0,20878155.333333332,259.7,104.1,11443.0,329216.0,438709.0,3.7,3.0
105,2018-10-01,252.8,21702370.0,20917868.0,260.6,103.9,11508.0,329379.0,443560.0,3.8,3.15
106,2018-11-01,252.6,21850094.0,20979956.0,262.2,104.0,11885.0,329527.0,445484.0,3.8,3.12
107,2018-12-01,252.8,21974096.0,21042044.0,263.0,104.0,11944.0,329659.0,435285.0,3.9,2.83
108,2019-01-01,252.7,21982424.0,21104132.0,264.5,103.4,11871.0,329766.0,438377.0,4.0,2.71
109,2019-02-01,253.3,22115526.0,21197680.0,265.0,102.8,11652.0,329862.0,438830.0,3.8,2.68
110,2019-03-01,254.2,22027880.0,21291228.0,266.0,102.8,11911.0,329977.0,446084.0,3.8,2.57
111,2019-04-01,255.2,22027668.0,21384776.0,267.3,102.2,12145.0,330103.0,445957.0,3.6,2.53
112,2019-05-01,255.3,22026424.0,21487944.666666668,268.5,102.4,12153.0,330240.0,448869.0,3.7,2.4
113,2019-06-01,255.2,22023282.0,21591113.333333332,269.4,102.5,12216.0,330393.0,448856.0,3.6,2.07
114,2019-07-01,255.7,22022370.0,21694282.0,270.5,102.0,11896.0,330553.0,452442.0,3.7,2.06
115,2019-08-01,256.1,22460466.0,21763651.333333332,271.6,102.8,12479.0,330729.0,455725.0,3.7,1.63
116,2019-09-01,256.5,22719402.0,21833020.666666668,273.2,102.5,12584.0,330904.0,451994.0,3.5,1.7
117,2019-10-01,257.2,23008410.0,21902390.0,274.6,101.6,12805.0,331066.0,453140.0,3.6,1.71
118,2019-11-01,257.8,23076200.0,21837097.333333332,276.3,102.1,13000.0,331213.0,456656.0,3.6,1.81
119,2019-12-01,258.6,23201380.0,21771804.666666668,278.5,101.9,12980.0,331345.0,457669.0,3.6,1.86
120,2020-01-01,259.0,23223812.0,21706512.0,280.4,101.4,12850.0,331443.0,456334.0,3.5,1.76
121,2020-02-01,259.2,23409960.0,21108722.666666668,282.1,101.6,12844.0,331525.0,456676.0,3.5,1.5
122,2020-03-01,258.1,23686872.0,20510933.333333332,282.7,97.67,12795.0,331634.0,429854.0,4.4,0.87
123,2020-04-01,256.1,24974172.0,19913144.0,283.2,84.6,11911.0,331684.0,376992.0,14.7,0.66
124,2020-05-01,255.9,25746260.0,20491309.333333332,282.2,85.97,9714.0,331685.0,444746.0,13.2,0.67
125,2020-06-01,257.0,26477240.0,21069474.666666668,285.2,91.56,10446.0,331728.0,474621.0,11.0,0.73
126,2020-07-01,258.3,26524952.0,21647640.0,289.2,95.01,11004.0,331795.0,480461.0,10.2,0.62
127,2020-08-01,259.4,26728836.0,21773260.666666668,294.3,95.89,10579.0,331870.0,483280.0,8.4,0.65
128,2020-09-01,260.0,26945392.0,21898881.333333332,299.1,95.84,10926.0,331950.0,492411.0,7.9,0.68
129,2020-10-01,260.3,27135476.0,22024502.0,303.7,96.43,10456.0,332025.0,490482.0,6.9,0.79
130,2020-11-01,260.8,27446288.0,22216396.0,307.4,96.86,11196.0,332063.0,487824.0,6.7,0.87
131,2020-12-01,262.0,27747798.0,22408290.0,311.4,97.98,11172.0,332047.0,496423.0,6.7,0.93
132,2021-01-01,262.6,27784552.0,22600184.0,315.0,98.78,11137.0,331992.0,510740.0,6.3,1.08
133,2021-02-01,263.6,27902364.0,22830910.0,318.0,95.37,9916.0,331968.0,497758.0,6.2,1.26
134,2021-03-01,264.9,28132570.0,23061636.0,322.6,98.14,11351.0,332007.0,550349.0,6.1,1.61
135,2021-04-01,266.7,28174714.0,23292362.0,327.7,98.29,11318.0,332073.0,552575.0,6.1,1.64
136,2021-05-01,268.4,28199008.0,23471232.0,333.0,99.15,11390.0,332144.0,545282.0,5.8,1.62
137,2021-06-01,270.6,28529436.0,23650102.0,338.9,99.51,11366.0,332231.0,548414.0,5.9,1.52
138,2021-07-01,271.8,28427722.0,23828972.0,344.3,100.1,11392.0,332358.0,537466.0,5.4,1.32
139,2021-08-01,272.9,28427316.0,24104182.666666668,348.4,100.1,11276.0,332489.0,542966.0,5.2,1.28
140,2021-09-01,274.0,28428920.0,24379393.333333332,352.3,99.06,10921.0,332594.0,547197.0,4.8,1.37
141,2021-10-01,276.5,28908764.0,24654604.0,356.8,100.3,11564.0,332692.0,557190.0,4.5,1.58
142,2021-11-01,278.7,28907988.0,24779441.333333332,361.8,101.2,11782.0,332790.0,563358.0,4.2,1.56
143,2021-12-01,280.9,29617214.0,24904278.666666668,367.0,100.9,11678.0,332876.0,560896.0,3.9,1.47
144,2022-01-01,282.6,30012386.0,25029116.0,372.4,101.0,11480.0,332918.0,572415.0,4.0,1.76
145,2022-02-01,284.6,30290354.0,25200834.666666668,378.3,101.7,11258.0,332959.0,577933.0,3.8,1.93
146,2022-03-01,287.5,30400960.0,25372553.333333332,383.1,102.5,11806.0,333056.0,589238.0,3.6,2.13
147,2022-04-01,288.6,30374156.0,25544272.0,388.3,102.8,11770.0,333184.0,595371.0,3.6,2.75
148,2022-05-01,291.3,30499620.0,25694394.666666668,392.2,102.8,11734.0,333317.0,593733.0,3.6,2.9
149,2022-06-01,294.7,30568582.0,25844517.333333332,393.0,102.7,11800.0,333460.0,598405.0,3.6,3.14
150,2022-07-01,294.6,30595108.0,25994640.0,391.0,103.1,11834.0,333624.0,594264.0,3.5,2.9
151,2022-08-01,295.3,30936076.0,26132561.333333332,389.5,103.2,11985.0,333799.0,596600.0,3.7,2.9
152,2022-09-01,296.5,30928912.0,26270482.666666668,391.1,103.5,12325.0,333976.0,594142.0,3.5,3.52
153,2022-10-01,298.0,31238302.0,26408404.0,391.5,103.4,12378.0,334141.0,602356.0,3.7,3.98
154,2022-11-01,298.6,31413322.0,26543469.333333332,391.6,103.1,12376.0,334287.0,593090.0,3.6,3.89
155,2022-12-01,299.0,31419690.0,26678534.666666668,392.2,101.5,12138.0,334420.0,588540.0,3.5,3.62
156,2023-01-01,300.5,31454982.0,26813600.0,392.5,102.5,12568.0,334533.0,603211.0,3.4,3.53
157,2023-02-01,301.6,31459292.0,26896737.333333332,395.7,102.6,12532.0,334637.0,600669.0,3.6,3.75
158,2023-03-01,301.8,31458438.0,26979874.666666668,397.8,102.7,12770.0,334753.0,594281.0,3.5,3.66
159,2023-04-01,302.9,31457816.0,27063012.0,400.9,103.2,12650.0,334880.0,596809.0,3.4,3.46
160,2023-05-01,303.3,31464458.0,27256829.333333332,403.9,102.9,12694.0,335013.0,599958.0,3.7,3.57
161,2023-06-01,303.8,32332274.0,27450646.666666668,406.0,102.3,12894.0,335163.0,600736.0,3.6,3.75
162,2023-07-01,304.3,32608586.0,27644464.0,409.4,103.3,12959.0,335329.0,603792.0,3.5,3.9
163,2023-08-01,306.3,32914150.0,27644464.0,412.2,103.3,13053.0,335501.0,608386.0,3.8,4.17
164,2023-09-01,307.5,33167334.0,27644464.0,414.8,103.4,12920.0,335675.0,613076.0,3.8,4.38
